chartId,stack,family,heroPosition,villainPosition,hand,appAction,sourceAction,sourceStatus,sourceFile,sourceReference,cellSource,matchYesNo,isHighRiskHand,changedYesNo,reason
15:UTG_RFI,15,RFI,UTG,NONE,AA,RAISE,RAISE,source_backed,15bb-gto-charts.pdf,Imported from 15bb-gto-charts.pdf using chart key UTG_RFI.,imported,yes,true,no,Exact imported source cell matches the app matrix.
15:UTG_RFI,15,RFI,UTG,NONE,KK,RAISE,RAISE,source_backed,15bb-gto-charts.pdf,Imported from 15bb-gto-charts.pdf using chart key UTG_RFI.,imported,yes,true,no,Exact imported source cell matches the app matrix.
15:UTG_RFI,15,RFI,UTG,NONE,QQ,RAISE,RAISE,source_backed,15bb-gto-charts.pdf,Imported from 15bb-gto-charts.pdf using chart key UTG_RFI.,imported,yes,true,no,Exact imported source cell matches the app matrix.
15:UTG_RFI,15,RFI,UTG,NONE,JJ,RAISE,RAISE,source_backed,15bb-gto-charts.pdf,Imported from 15bb-gto-charts.pdf using chart key UTG_RFI.,imported,yes,true,no,Exact imported source cell matches the app matrix.
15:UTG_RFI,15,RFI,UTG,NONE,TT,RAISE,RAISE,source_backed,15bb-gto-charts.pdf,Imported from 15bb-gto-charts.pdf using chart key UTG_RFI.,imported,yes,true,no,Exact imported source cell matches the app matrix.
15:UTG_RFI,15,RFI,UTG,NONE,99,RAISE,RAISE,source_backed,15bb-gto-charts.pdf,Imported from 15bb-gto-charts.pdf using chart key UTG_RFI.,imported,yes,true,no,Exact imported source cell matches the app matrix.
15:UTG_RFI,15,RFI,UTG,NONE,88,RAISE,RAISE,source_backed,15bb-gto-charts.pdf,Imported from 15bb-gto-charts.pdf using chart key UTG_RFI.,imported,yes,true,no,Exact imported source cell matches the app matrix.
15:UTG_RFI,15,RFI,UTG,NONE,77,FOLD,FOLD,source_backed,15bb-gto-charts.pdf,Imported from 15bb-gto-charts.pdf using chart key UTG_RFI.,imported,yes,true,no,Exact imported source cell matches the app matrix.
15:UTG_RFI,15,RFI,UTG,NONE,66,FOLD,FOLD,source_backed,15bb-gto-charts.pdf,Imported from 15bb-gto-charts.pdf using chart key UTG_RFI.,imported,yes,true,no,Exact imported source cell matches the app matrix.
15:UTG_RFI,15,RFI,UTG,NONE,55,FOLD,FOLD,source_backed,15bb-gto-charts.pdf,Imported from 15bb-gto-charts.pdf using chart key UTG_RFI.,imported,yes,true,no,Exact imported source cell matches the app matrix.
15:UTG_RFI,15,RFI,UTG,NONE,44,FOLD,FOLD,source_backed,15bb-gto-charts.pdf,Imported from 15bb-gto-charts.pdf using chart key UTG_RFI.,imported,yes,true,no,Exact imported source cell matches the app matrix.
15:UTG_RFI,15,RFI,UTG,NONE,33,FOLD,FOLD,source_backed,15bb-gto-charts.pdf,Imported from 15bb-gto-charts.pdf using chart key UTG_RFI.,imported,yes,true,no,Exact imported source cell matches the app matrix.
15:UTG_RFI,15,RFI,UTG,NONE,22,FOLD,FOLD,source_backed,15bb-gto-charts.pdf,Imported from 15bb-gto-charts.pdf using chart key UTG_RFI.,imported,yes,true,no,Exact imported source cell matches the app matrix.
15:UTG_RFI,15,RFI,UTG,NONE,AKs,RAISE,RAISE,source_backed,15bb-gto-charts.pdf,Imported from 15bb-gto-charts.pdf using chart key UTG_RFI.,imported,yes,true,no,Exact imported source cell matches the app matrix.
15:UTG_RFI,15,RFI,UTG,NONE,AQs,RAISE,RAISE,source_backed,15bb-gto-charts.pdf,Imported from 15bb-gto-charts.pdf using chart key UTG_RFI.,imported,yes,true,no,Exact imported source cell matches the app matrix.
15:UTG_RFI,15,RFI,UTG,NONE,AJs,RAISE,RAISE,source_backed,15bb-gto-charts.pdf,Imported from 15bb-gto-charts.pdf using chart key UTG_RFI.,imported,yes,true,no,Exact imported source cell matches the app matrix.
15:UTG_RFI,15,RFI,UTG,NONE,ATs,RAISE,RAISE,source_backed,15bb-gto-charts.pdf,Imported from 15bb-gto-charts.pdf using chart key UTG_RFI.,imported,yes,true,no,Exact imported source cell matches the app matrix.
15:UTG_RFI,15,RFI,UTG,NONE,A9s,RAISE,RAISE,source_backed,15bb-gto-charts.pdf,Imported from 15bb-gto-charts.pdf using chart key UTG_RFI.,imported,yes,true,no,Exact imported source cell matches the app matrix.
15:UTG_RFI,15,RFI,UTG,NONE,A8s,RAISE,RAISE,source_backed,15bb-gto-charts.pdf,Imported from 15bb-gto-charts.pdf using chart key UTG_RFI.,imported,yes,true,no,Exact imported source cell matches the app matrix.
15:UTG_RFI,15,RFI,UTG,NONE,A7s,RAISE,RAISE,source_backed,15bb-gto-charts.pdf,Imported from 15bb-gto-charts.pdf using chart key UTG_RFI.,imported,yes,true,no,Exact imported source cell matches the app matrix.
15:UTG_RFI,15,RFI,UTG,NONE,A6s,RAISE,RAISE,source_backed,15bb-gto-charts.pdf,Imported from 15bb-gto-charts.pdf using chart key UTG_RFI.,imported,yes,true,no,Exact imported source cell matches the app matrix.
15:UTG_RFI,15,RFI,UTG,NONE,A5s,RAISE,RAISE,source_backed,15bb-gto-charts.pdf,Imported from 15bb-gto-charts.pdf using chart key UTG_RFI.,imported,yes,true,no,Exact imported source cell matches the app matrix.
15:UTG_RFI,15,RFI,UTG,NONE,A4s,FOLD,FOLD,source_backed,15bb-gto-charts.pdf,Imported from 15bb-gto-charts.pdf using chart key UTG_RFI.,imported,yes,true,no,Exact imported source cell matches the app matrix.
15:UTG_RFI,15,RFI,UTG,NONE,A3s,FOLD,FOLD,source_backed,15bb-gto-charts.pdf,Imported from 15bb-gto-charts.pdf using chart key UTG_RFI.,imported,yes,true,no,Exact imported source cell matches the app matrix.
